Shimmer_B640_Timestamp_Unix_CAL,Shimmer_B640_Accel_LN_X_CAL,Shimmer_B640_Accel_LN_Y_CAL,Shimmer_B640_Accel_LN_Z_CAL,Shimmer_B640_GSR_CAL,Shimmer_B640_PPGToHR_PPG_A13_CAL,Shimmer_B640_PPG_A13_CAL
ms,m/(s^2),m/(s^2),m/(s^2),kOhms,BPM,mV
1.43507E+12,6.156626506,-0.228915663,7.734939759,1257.458616,-1,1180.952381
1.43507E+12,6.13253012,-0.240963855,7.746987952,1257.458616,-1,1175.824176
1.43507E+12,6.120481928,-0.21686747,7.746987952,1258.179741,-1,1171.428571
1.43507E+12,6.144578313,-0.228915663,7.734939759,1257.458616,-1,1168.498168
1.43507E+12,6.168674699,-0.240963855,7.734939759,1258.179741,-1,1169.230769
1.43507E+12,6.168674699,-0.204819277,7.734939759,1257.458616,-1,1171.428571
1.43507E+12,6.156626506,-0.228915663,7.734939759,1258.179741,-1,1172.161172
1.43507E+12,6.156626506,-0.228915663,7.734939759,1258.179741,-1,1172.161172
1.43507E+12,6.13253012,-0.253012048,7.734939759,1258.179741,-1,1170.695971
1.43507E+12,6.144578313,-0.228915663,7.734939759,1258.179741,-1,1167.032967
1.43507E+12,6.120481928,-0.228915663,7.734939759,1258.179741,-1,1167.032967
1.43507E+12,6.144578313,-0.228915663,7.734939759,1258.179741,-1,1164.835165
1.43507E+12,6.144578313,-0.228915663,7.734939759,1258.901694,-1,1162.637363
1.43507E+12,6.156626506,-0.228915663,7.734939759,1258.179741,-1,1159.70696
1.43507E+12,6.168674699,-0.240963855,7.722891566,1257.458616,-1,1156.776557
1.43507E+12,6.180722892,-0.21686747,7.710843373,1258.179741,-1,1155.311355
1.43507E+12,6.144578313,-0.240963855,7.734939759,1258.901694,-1,1153.846154
1.43507E+12,6.13253012,-0.240963855,7.746987952,1258.901694,-1,1153.846154
1.43507E+12,6.13253012,-0.21686747,7.734939759,1258.901694,-1,1153.846154
1.43507E+12,6.144578313,-0.228915663,7.746987952,1258.179741,-1,1154.578755
1.43507E+12,6.144578313,-0.240963855,7.734939759,1258.179741,-1,1155.311355
1.43507E+12,6.168674699,-0.228915663,7.698795181,1258.179741,-1,1156.043956
1.43507E+12,6.180722892,-0.204819277,7.734939759,1258.901694,-1,1158.241758
1.43507E+12,6.156626506,-0.204819277,7.734939759,1258.179741,-1,1158.974359
